Before the meeting , Mary wrote down the following lists of words . One was : window , door , roof . And the other : roof , window , door .
Before the meeting , Mary wrote down the following lists of words . One was : pear , banana , peach , grape , cherry , plum , grapefruit . And the other : banana , grapefruit , pear , plum , peach , cherry , grape .
Before the meeting , Mary wrote down the following lists of words . One was : hammer , saw , nails , level , plane , chisel , ruler . And the other : chisel , plane , ruler , hammer , saw , level , nails .
Before the meeting , Mary wrote down the following lists of words . One was : screws , hammer , saw , nails , level , plane , chisel . And the other : nails , plane , hammer , chisel , level , saw , screws .
Before the meeting , Mary wrote down the following lists of words . One was : drill , screws , hammer , saw , nails , level , plane . And the other : nails , screws , hammer , drill , saw , level , plane .
Before the meeting , Mary wrote down the following lists of words . One was : wrench , drill , screws , hammer , saw , nails , level . And the other : nails , hammer , wrench , drill , screws , saw , level .
Before the meeting , Mary wrote down the following lists of words . One was : ruler , wrench , drill , screws , hammer , saw , nails . And the other : ruler , wrench , hammer , saw , nails , drill , screws .
Before the meeting , Mary wrote down the following lists of words . One was : chisel , ruler , wrench , drill , screws , hammer , saw . And the other : wrench , saw , hammer , chisel , ruler , drill , screws .
Before the meeting , Mary wrote down the following lists of words . One was : plane , chisel , ruler , wrench , drill , screws , hammer . And the other : plane , hammer , ruler , drill , wrench , screws , chisel .
Before the meeting , Mary wrote down the following lists of words . One was : level , plane , chisel , ruler , wrench , drill , screws . And the other : screws , drill , chisel , plane , level , ruler , wrench .
Before the meeting , Mary wrote down the following lists of words . One was : nails , level , plane , chisel , ruler , wrench , drill . And the other : chisel , drill , level , wrench , nails , ruler , plane .
Before the meeting , Mary wrote down the following lists of words . One was : saw , nails , level , plane , chisel , ruler , wrench . And the other : level , saw , chisel , wrench , nails , ruler , plane .
Before the meeting , Mary wrote down the following lists of words . One was : hurricane , tornado , rain , snow , hail , storm , wind . And the other : hurricane , hail , rain , snow , tornado , wind , storm .
Before the meeting , Mary wrote down the following lists of words . One was : sunshine , hurricane , tornado , rain , snow , hail , storm . And the other : sunshine , hurricane , storm , rain , hail , snow , tornado .
Before the meeting , Mary wrote down the following lists of words . One was : clouds , sunshine , hurricane , tornado , rain , snow , hail . And the other : clouds , tornado , hurricane , hail , rain , sunshine , snow .
Before the meeting , Mary wrote down the following lists of words . One was : cyclone , clouds , sunshine , hurricane , tornado , rain , snow . And the other : rain , snow , cyclone , clouds , sunshine , tornado , hurricane .
Before the meeting , Mary wrote down the following lists of words . One was : wind , cyclone , clouds , sunshine , hurricane , tornado , rain . And the other : cyclone , rain , sunshine , wind , hurricane , tornado , clouds .
Before the meeting , Mary wrote down the following lists of words . One was : storm , wind , cyclone , clouds , sunshine , hurricane , tornado . And the other : storm , tornado , clouds , hurricane , cyclone , wind , sunshine .
Before the meeting , Mary wrote down the following lists of words . One was : hail , storm , wind , cyclone , clouds , sunshine , hurricane . And the other : hurricane , clouds , cyclone , storm , hail , wind , sunshine .
Before the meeting , Mary wrote down the following lists of words . One was : snow , hail , storm , wind , cyclone , clouds , sunshine . And the other : sunshine , clouds , snow , hail , cyclone , wind , storm .
Before the meeting , Mary wrote down the following lists of words . One was : rain , snow , hail , storm , wind , cyclone , clouds . And the other : cyclone , storm , wind , clouds , rain , snow , hail .
Before the meeting , Mary wrote down the following lists of words . One was : tornado , rain , snow , hail , storm , wind , cyclone . And the other : storm , snow , cyclone , rain , hail , tornado , wind .
Before the meeting , Mary wrote down the following lists of words . One was : oxygen , hydrogen , nitrogen , carbon , sodium , sulphur , helium . And the other : sodium , nitrogen , carbon , sulphur , oxygen , hydrogen , helium .
Before the meeting , Mary wrote down the following lists of words . One was : potassium , oxygen , hydrogen , nitrogen , carbon , sodium , sulphur . And the other : carbon , nitrogen , hydrogen , sulphur , potassium , oxygen , sodium .
Before the meeting , Mary wrote down the following lists of words . One was : calcium , potassium , oxygen , hydrogen , nitrogen , carbon , sodium . And the other : nitrogen , oxygen , hydrogen , sodium , carbon , potassium , calcium .
Before the meeting , Mary wrote down the following lists of words . One was : chlorine , calcium , potassium , oxygen , hydrogen , nitrogen , carbon . And the other : hydrogen , calcium , potassium , nitrogen , chlorine , carbon , oxygen .
Before the meeting , Mary wrote down the following lists of words . One was : helium , chlorine , calcium , potassium , oxygen , hydrogen , nitrogen . And the other : oxygen , nitrogen , chlorine , potassium , helium , calcium , hydrogen .
Before the meeting , Mary wrote down the following lists of words . One was : sulphur , helium , chlorine , calcium , potassium , oxygen , hydrogen . And the other : helium , sulphur , chlorine , calcium , oxygen , hydrogen , potassium .
Before the meeting , Mary wrote down the following lists of words . One was : sodium , sulphur , helium , chlorine , calcium , potassium , oxygen . And the other : sulphur , potassium , helium , calcium , chlorine , oxygen , sodium .
Before the meeting , Mary wrote down the following lists of words . One was : carbon , sodium , sulphur , helium , chlorine , calcium , potassium . And the other : potassium , sulphur , carbon , chlorine , helium , calcium , sodium .
Before the meeting , Mary wrote down the following lists of words . One was : nitrogen , carbon , sodium , sulphur , helium , chlorine , calcium . And the other : sodium , carbon , helium , chlorine , sulphur , calcium , nitrogen .
